      #Energy        TDOS-UP        TDOS-DOWN
     -50.67809       0.00000       0.00000
     -50.63909       0.00000       0.00000
     -50.59909       0.00000       0.00000
     -50.55909       0.00000       0.00000
     -50.52009       0.00000       0.00000
     -50.48009       0.00000       0.00000
     -50.44009       0.00000       0.00000
     -50.40109       0.00000       0.00000
     -50.36109       0.00000       0.00000
     -50.32209       0.00000       0.00000
     -50.28209       0.00000       0.00000
     -50.24209       0.00000       0.00000
     -50.20309       0.00000       0.00000
     -50.16309       0.00000       0.00000
     -50.12409       0.00000       0.00000
     -50.08409       0.00000       0.00000
     -50.04409       0.00000       0.00000
     -50.00509       0.00000       0.00000
     -49.96509       0.00000       0.00000
     -49.92509       0.00000       0.00000
     -49.88609       0.00000       0.00000
     -49.84609       0.00000       0.00000
     -49.80709       0.00000       0.00000
     -49.76709       0.00000       0.00000
     -49.72709       0.00000       0.00000
     -49.68809       0.00000       0.00000
     -49.64809       0.00000       0.00000
     -49.60909       0.00000       0.00000
     -49.56909       0.00000       0.00000
     -49.52909       0.00000       0.00000
     -49.49009       0.00000       0.00000
     -49.45009       0.00000       0.00000
     -49.41009       0.00000       0.00000
     -49.37109       0.00000       0.00000
     -49.33109       0.00000       0.00000
     -49.29209       0.00000       0.00000
     -49.25209       0.00000       0.00000
     -49.21209       0.00000       0.00000
     -49.17309       0.00000       0.00000
     -49.13309       0.00000       0.00000
     -49.09309       0.00000       0.00000
     -49.05409       0.00000       0.00000
     -49.01409       0.00000       0.00000
     -48.97509       0.00000       0.00000
     -48.93509       0.00000       0.00000
     -48.89509       0.00000       0.00000
     -48.85609       0.00000       0.00000
     -48.81609       0.00000       0.00000
     -48.77709       0.00000       0.00000
     -48.73709       0.00000       0.00000
     -48.69709       0.00000       0.00000
     -48.65809       0.00000       0.00000
     -48.61809       0.00000       0.00000
     -48.57809       0.00000       0.00000
     -48.53909       0.00000       0.00000
     -48.49909       0.00000       0.00000
     -48.46009       0.00000       0.00000
     -48.42009       0.00000       0.00000
