      #Energy        TDOS-UP        TDOS-DOWN
     -50.83000       0.00000       0.00000
     -50.79000       0.00000       0.00000
     -50.75100       0.00000       0.00000
     -50.71100       0.00000       0.00000
     -50.67200       0.00000       0.00000
     -50.63200       0.00000       0.00000
     -50.59300       0.00000       0.00000
     -50.55300       0.00000       0.00000
     -50.51400       0.00000       0.00000
     -50.47400       0.00000       0.00000
     -50.43500       0.00000       0.00000
     -50.39500       0.00000       0.00000
     -50.35500       0.00000       0.00000
     -50.31600       0.00000       0.00000
     -50.27600       0.00000       0.00000
     -50.23700       0.00000       0.00000
     -50.19700       0.00000       0.00000
     -50.15800       0.00000       0.00000
     -50.11800       0.00000       0.00000
     -50.07900       0.00000       0.00000
     -50.03900       0.00000       0.00000
     -49.99900       0.00000       0.00000
     -49.96000       0.00000       0.00000
     -49.92000       0.00000       0.00000
     -49.88100       0.00000       0.00000
     -49.84100       0.00000       0.00000
     -49.80200       0.00000       0.00000
     -49.76200       0.00000       0.00000
     -49.72300       0.00000       0.00000
     -49.68300       0.00000       0.00000
     -49.64300       0.00000       0.00000
     -49.60400       0.00000       0.00000
     -49.56400       0.00000       0.00000
     -49.52500       0.00000       0.00000
     -49.48500       0.00000       0.00000
     -49.44600       0.00000       0.00000
     -49.40600       0.00000       0.00000
     -49.36700       0.00000       0.00000
     -49.32700       0.00000       0.00000
     -49.28700       0.00000       0.00000
     -49.24800       0.00000       0.00000
     -49.20800       0.00000       0.00000
     -49.16900       0.00000       0.00000
     -49.12900       0.00000       0.00000
     -49.09000       0.00000       0.00000
     -49.05000       0.00000       0.00000
     -49.01100       0.00000       0.00000
     -48.97100       0.00000       0.00000
     -48.93200       0.00000       0.00000
     -48.89200       0.00000       0.00000
     -48.85200       0.00000       0.00000
     -48.81300       0.00000       0.00000
     -48.77300       0.00000       0.00000
     -48.73400       0.00000       0.00000
     -48.69400       0.00000       0.00000
     -48.65500       0.00000       0.00000
     -48.61500       0.00000       0.00000
     -48.57600       0.00000       0.00000
     -48.53600       0.00000       0.00000
     -48.49600       0.00000       0.00000
     -48.45700       0.00000       0.00000
     -48.41700       0.00000       0.00000
     -48.37800       0.00000       0.00000
     -48.33800       0.00000       0.00000
     -48.29900       0.00000       0.00000
     -48.25900       0.00000       0.00000
     -48.22000       0.00000       0.00000
     -48.18000       0.00000       0.00000
     -48.14000       0.00000       0.00000
     -48.10100       0.00000       0.00000
     -48.06100       0.00000       0.00000
     -48.02200       0.00000       0.00000
     -47.98200       0.00000       0.00000
     -47.94300       0.00000       0.00000
     -47.90300       0.00000       0.00000
     -47.86400       0.00000       0.00000
     -47.82400       0.00000       0.00000
     -47.78400       0.00000       0.00000
     -47.74500       0.00000       0.00000
     -47.70500       0.00000       0.00000
     -47.66600       0.00000       0.00000
     -47.62600       0.00000       0.00000
     -47.58700       0.00000       0.00000
     -47.54700       0.00000       0.00000
     -47.50800       0.00000       0.00000
     -47.46800       0.00000       0.00000
     -47.42900       0.00000       0.00000
     -47.38900       0.00000       0.00000
     -47.34900       0.00000       0.00000
     -47.31000       0.00000       0.00000
     -47.27000       0.00000       0.00000
     -47.23100       0.00000       0.00000
     -47.19100       0.00000       0.00000
     -47.15200       0.00000       0.00000
     -47.11200       0.00000       0.00000
     -47.07300       0.00000       0.00000
     -47.03300       0.00000       0.00000
     -46.99300       0.00000       0.00000
     -46.95400       0.00000       0.00000
     -46.91400    6834.00000       0.00000
     -46.87500       0.00000       0.00000
     -46.83500       0.00000       0.00000
     -46.79600       0.00000       0.00000
     -46.75600       0.00000       0.00000
     -46.71700       0.00000       0.00000
     -46.67700       0.00000       0.00000
     -46.63700       0.00000       0.00000
     -46.59800       0.00000       0.00000
     -46.55800       0.00000       0.00000
     -46.51900       0.00000       0.00000
     -46.47900       0.00000       0.00000
     -46.44000       0.00000       0.00000
     -46.40000       0.00000       0.00000
     -46.36100       0.00000       0.00000
     -46.32100       0.00000       0.00000
     -46.28100       0.00000       0.00000
     -46.24200       0.00000       0.00000
     -46.20200       0.00000       0.00000
     -46.16300       0.00000       0.00000
     -46.12300       0.00000       0.00000
     -46.08400       0.00000       0.00000
     -46.04400       0.00000       0.00000
     -46.00500       0.00000       0.00000
     -45.96500       0.00000       0.00000
     -45.92600       0.00000       0.00000
     -45.88600       0.00000       0.00000
     -45.84600       0.00000       0.00000
     -45.80700       0.00000       0.00000
     -45.76700       0.00000       0.00000
     -45.72800       0.00000       0.00000
     -45.68800       0.00000       0.00000
     -45.64900       0.00000       0.00000
     -45.60900       0.00000       0.00000
     -45.57000       0.00000       0.00000
     -45.53000       0.00000       0.00000
     -45.49000       0.00000       0.00000
     -45.45100       0.00000       0.00000
     -45.41100       0.00000       0.00000
     -45.37200       0.00000       0.00000
     -45.33200       0.00000       0.00000
     -45.29300       0.00000       0.00000
     -45.25300       0.00000       0.00000
