      #Energy        TDOS-UP        TDOS-DOWN
     -50.08082       0.00000       0.00000
     -50.04182       0.00000       0.00000
     -50.00182       0.00000       0.00000
     -49.96282       0.00000       0.00000
     -49.92382       0.00000       0.00000
     -49.88482       0.00000       0.00000
     -49.84482       0.00000       0.00000
     -49.80582       0.00000       0.00000
     -49.76682       0.00000       0.00000
     -49.72782       0.00000       0.00000
     -49.68782       0.00000       0.00000
     -49.64882       0.00000       0.00000
     -49.60982       0.00000       0.00000
     -49.57082       0.00000       0.00000
     -49.53182       0.00000       0.00000
     -49.49182       0.00000       0.00000
     -49.45282       0.00000       0.00000
     -49.41382       0.00000       0.00000
     -49.37482       0.00000       0.00000
     -49.33482       0.00000       0.00000
     -49.29582       0.00000       0.00000
     -49.25682       0.00000       0.00000
     -49.21782       0.00000       0.00000
     -49.17782       0.00000       0.00000
     -49.13882       0.00000       0.00000
     -49.09982       0.00000       0.00000
     -49.06082       0.00000       0.00000
     -49.02082       0.00000       0.00000
     -48.98182       0.00000       0.00000
     -48.94282       0.00000       0.00000
     -48.90382       0.00000       0.00000
     -48.86382       0.00000       0.00000
     -48.82482       0.00000       0.00000
     -48.78582       0.00000       0.00000
     -48.74682       0.00000       0.00000
     -48.70682       0.00000       0.00000
     -48.66782       0.00000       0.00000
     -48.62882       0.00000       0.00000
     -48.58982       0.00000       0.00000
     -48.54982       0.00000       0.00000
     -48.51082       0.00000       0.00000
     -48.47182       0.00000       0.00000
     -48.43282       0.00000       0.00000
     -48.39282       0.00000       0.00000
     -48.35382       0.00000       0.00000
     -48.31482       0.00000       0.00000
     -48.27582       0.00000       0.00000
     -48.23582       0.00000       0.00000
     -48.19682       0.00000       0.00000
     -48.15782       0.00000       0.00000
     -48.11882       0.00000       0.00000
     -48.07882       0.00000       0.00000
     -48.03982       0.00000       0.00000
     -48.00082       0.00000       0.00000
     -47.96182       0.00000       0.00000
     -47.92182       0.00000       0.00000
     -47.88282       0.00000       0.00000
     -47.84382       0.00000       0.00000
     -47.80482       0.00000       0.00000
     -47.76582       0.00000       0.00000
     -47.72582       0.00000       0.00000
     -47.68682       0.00000       0.00000
     -47.64782       0.00000       0.00000
     -47.60882       0.00000       0.00000
     -47.56882       0.00000       0.00000
     -47.52982       0.00000       0.00000
     -47.49082       0.00000       0.00000
     -47.45182       0.00000       0.00000
     -47.41182       0.00000       0.00000
     -47.37282       0.00000       0.00000
     -47.33382       0.00000       0.00000
     -47.29482       0.00000       0.00000
     -47.25482       0.00000       0.00000
     -47.21582       0.00000       0.00000
     -47.17682       0.00000       0.00000
     -47.13782       0.00000       0.00000
     -47.09782       0.00000       0.00000
     -47.05882       0.00000       0.00000
     -47.01982       0.00000       0.00000
     -46.98082       0.00000       0.00000
     -46.94082       0.00000       0.00000
     -46.90182       0.00000       0.00000
     -46.86282       0.00000       0.00000
     -46.82382       0.00000       0.00000
     -46.78382       0.00000       0.00000
     -46.74482       0.00000       0.00000
     -46.70582       0.00000       0.00000
     -46.66682       0.00000       0.00000
     -46.62682       0.00000       0.00000
     -46.58782       0.00000       0.00000
     -46.54882       0.00000       0.00000
     -46.50982       0.00000       0.00000
     -46.46982       0.00000       0.00000
     -46.43082       0.00000       0.00000
     -46.39182       0.00000       0.00000
     -46.35282       0.00000       0.00000
     -46.31282       0.00000       0.00000
     -46.27382       0.00000       0.00000
     -46.23482       0.00000       0.00000
     -46.19582       0.00000       0.00000
     -46.15582       0.00000       0.00000
     -46.11682       0.00000       0.00000
     -46.07782       0.00000       0.00000
     -46.03882       0.00000       0.00000
     -45.99982       0.00000       0.00000
     -45.95982       0.00000       0.00000
     -45.92082       0.00000       0.00000
     -45.88182       0.00000       0.00000
     -45.84282       0.00000       0.00000
     -45.80282       0.00000       0.00000
     -45.76382       0.00000       0.00000
     -45.72482       0.00000       0.00000
     -45.68582       0.00000       0.00000
     -45.64582       0.00000       0.00000
     -45.60682       0.00000       0.00000
     -45.56782       0.00000       0.00000
     -45.52882       0.00000       0.00000
     -45.48882       0.00000       0.00000
     -45.44982       0.00000       0.00000
     -45.41082       0.00000       0.00000
     -45.37182       0.00000       0.00000
     -45.33182       0.00000       0.00000
     -45.29282       0.00000       0.00000
     -45.25382       0.00000       0.00000
     -45.21482       0.00000       0.00000
     -45.17482       0.00000       0.00000
     -45.13582       0.00000       0.00000
     -45.09682       0.00000       0.00000
     -45.05782       0.00000       0.00000
     -45.01782       0.00000       0.00000
     -44.97882       0.00000       0.00000
     -44.93982       0.00000       0.00000
     -44.90082       0.00000       0.00000
     -44.86082       0.00000       0.00000
     -44.82182       0.00000       0.00000
     -44.78282       0.00000       0.00000
     -44.74382       0.00000       0.00000
     -44.70382       0.00000       0.00000
     -44.66482       0.00000       0.00000
     -44.62582       0.00000       0.00000
     -44.58682       0.00000       0.00000
     -44.54682       0.00000       0.00000
     -44.50782       0.00000       0.00000
     -44.46882       0.00000       0.00000
     -44.42982       0.00000       0.00000
     -44.38982       0.00000       0.00000
     -44.35082       0.00000       0.00000
     -44.31182       0.00000       0.00000
     -44.27282       0.00000       0.00000
     -44.23382       0.00000       0.00000
     -44.19382       0.00000       0.00000
     -44.15482       0.00000       0.00000
     -44.11582       0.00000       0.00000
     -44.07682       0.00000       0.00000
     -44.03682       0.00000       0.00000
     -43.99782       0.00000       0.00000
     -43.95882       0.00000       0.00000
     -43.91982       0.00000       0.00000
     -43.87982       0.00000       0.00000
     -43.84082       0.00000       0.00000
     -43.80182       0.00000       0.00000
     -43.76282       0.00000       0.00000
     -43.72282       0.00000       0.00000
     -43.68382       0.00000       0.00000
     -43.64482       0.00000       0.00000
     -43.60582       0.00000       0.00000
     -43.56582       0.00000       0.00000
     -43.52682       0.00000       0.00000
     -43.48782       0.00000       0.00000
     -43.44882       0.00000       0.00000
     -43.40882       0.00000       0.00000
     -43.36982       0.00000       0.00000
     -43.33082       0.00000       0.00000
     -43.29182       0.00000       0.00000
     -43.25182       0.00000       0.00000
     -43.21282       0.00000       0.00000
     -43.17382       0.00000       0.00000
     -43.13482       0.00000       0.00000
     -43.09482       0.00000       0.00000
     -43.05582       0.00000       0.00000
     -43.01682       0.00000       0.00000
     -42.97782       0.00000       0.00000
     -42.93782       0.00000       0.00000
     -42.89882       0.00000       0.00000
     -42.85982       0.00000       0.00000
     -42.82082       0.00000       0.00000
     -42.78082       0.00000       0.00000
     -42.74182       0.00000       0.00000
     -42.70282       0.00000       0.00000
     -42.66382       0.00000       0.00000
     -42.62482       0.00000       0.00000
     -42.58482       0.00000       0.00000
     -42.54582       0.00000       0.00000
     -42.50682       0.00000       0.00000
     -42.46782       0.00000       0.00000
     -42.42782       0.00000       0.00000
     -42.38882       0.00000       0.00000
     -42.34982       0.00000       0.00000
     -42.31082       0.00000       0.00000
     -42.27082       0.00000       0.00000
     -42.23182       0.00000       0.00000
     -42.19282       0.00000       0.00000
     -42.15382       0.00000       0.00000
     -42.11382       0.00000       0.00000
     -42.07482       0.00000       0.00000
     -42.03582       0.00000       0.00000
     -41.99682       0.00000       0.00000
     -41.95682       0.00000       0.00000
     -41.91782       0.00000       0.00000
     -41.87882       0.00000       0.00000
     -41.83982       0.00000       0.00000
     -41.79982       0.00000       0.00000
     -41.76082       0.00000       0.00000
     -41.72182       0.00000       0.00000
     -41.68282       0.00000       0.00000
     -41.64282       0.00000       0.00000
     -41.60382       0.00000       0.00000
     -41.56482       0.00000       0.00000
     -41.52582       0.00000       0.00000
     -41.48582       0.00000       0.00000
     -41.44682       0.00000       0.00000
     -41.40782       0.00000       0.00000
     -41.36882       0.00000       0.00000
     -41.32882       0.00000       0.00000
     -41.28982       0.00000       0.00000
     -41.25082       0.00000       0.00000
     -41.21182       0.00000       0.00000
     -41.17182       0.00000       0.00000
     -41.13282       0.00000       0.00000
     -41.09382       0.00000       0.00000
     -41.05482       0.00000       0.00000
     -41.01482       0.00000       0.00000
     -40.97582       0.00000       0.00000
     -40.93682       0.00000       0.00000
     -40.89782       0.00000       0.00000
     -40.85882       0.00000       0.00000
     -40.81882       0.00000       0.00000
     -40.77982       0.00000       0.00000
     -40.74082       0.00000       0.00000
     -40.70182       0.00000       0.00000
     -40.66182       0.00000       0.00000
     -40.62282       0.00000       0.00000
     -40.58382       0.00000       0.00000
     -40.54482       0.00000       0.00000
     -40.50482       0.00000       0.00000
     -40.46582       0.00000       0.00000
     -40.42682       0.00000       0.00000
     -40.38782       0.00000       0.00000
     -40.34782       0.00000       0.00000
     -40.30882       0.00000       0.00000
     -40.26982       0.00000       0.00000
     -40.23082       0.00000       0.00000
     -40.19082       0.00000       0.00000
     -40.15182       0.00000       0.00000
     -40.11282       0.00000       0.00000
     -40.07382       0.00000       0.00000
     -40.03382       0.00000       0.00000
     -39.99482       0.00000       0.00000
     -39.95582       0.00000       0.00000
     -39.91682       0.00000       0.00000
     -39.87682       0.00000       0.00000
     -39.83782       0.00000       0.00000
     -39.79882       0.00000       0.00000
     -39.75982       0.00000       0.00000
     -39.71982       0.00000       0.00000
     -39.68082       0.00000       0.00000
     -39.64182       0.00000       0.00000
     -39.60282       0.00000       0.00000
     -39.56282       0.00000       0.00000
     -39.52382       0.00000       0.00000
     -39.48482       0.00000       0.00000
     -39.44582       0.00000       0.00000
     -39.40582       0.00000       0.00000
     -39.36682       0.00000       0.00000
     -39.32782       0.00000       0.00000
     -39.28882       0.00000       0.00000
     -39.24882       0.00000       0.00000
     -39.20982       0.00000       0.00000
     -39.17082       0.00000       0.00000
     -39.13182       0.00000       0.00000
     -39.09282       0.00000       0.00000
     -39.05282       0.00000       0.00000
     -39.01382       0.00000       0.00000
     -38.97482       0.00000       0.00000
     -38.93582       0.00000       0.00000
     -38.89582       0.00000       0.00000
     -38.85682       0.00000       0.00000
     -38.81782       0.00000       0.00000
     -38.77882       0.00000       0.00000
     -38.73882       0.00000       0.00000
     -38.69982       0.00000       0.00000
     -38.66082       0.00000       0.00000
     -38.62182       0.00000       0.00000
     -38.58182       0.00000       0.00000
     -38.54282       0.00000       0.00000
     -38.50382       0.00000       0.00000
     -38.46482       0.00000       0.00000
     -38.42482       0.00000       0.00000
     -38.38582       0.00000       0.00000
     -38.34682       0.00000       0.00000
     -38.30782       0.00000       0.00000
     -38.26782       0.00000       0.00000
     -38.22882       0.00000       0.00000
     -38.18982       0.00000       0.00000
     -38.15082       0.00000       0.00000
     -38.11082       0.00000       0.00000
     -38.07182       0.00000       0.00000
     -38.03282       0.00000       0.00000
     -37.99382       0.00000       0.00000
     -37.95382       0.00000       0.00000
     -37.91482       0.00000       0.00000
     -37.87582       0.00000       0.00000
     -37.83682       0.00000       0.00000
     -37.79682       0.00000       0.00000
     -37.75782       0.00000       0.00000
     -37.71882       0.00000       0.00000
     -37.67982       0.00000       0.00000
     -37.63982       0.00000       0.00000
     -37.60082       0.00000       0.00000
     -37.56182       0.00000       0.00000
     -37.52282       0.00000       0.00000
     -37.48282       0.00000       0.00000
     -37.44382       0.00000       0.00000
     -37.40482       0.00000       0.00000
     -37.36582       0.00000       0.00000
     -37.32682       0.00000       0.00000
     -37.28682       0.00000       0.00000
     -37.24782       0.00000       0.00000
     -37.20882       0.00000       0.00000
     -37.16982       0.00000       0.00000
     -37.12982       0.00000       0.00000
     -37.09082       0.00000       0.00000
     -37.05182       0.00000       0.00000
     -37.01282       0.00000       0.00000
     -36.97282       0.00000       0.00000
     -36.93382       0.00000       0.00000
     -36.89482       0.00000       0.00000
     -36.85582       0.00000       0.00000
     -36.81582       0.00000       0.00000
     -36.77682       0.00000       0.00000
     -36.73782       0.00000       0.00000
     -36.69882       0.00000       0.00000
     -36.65882       0.00000       0.00000
     -36.61982       0.00000       0.00000
     -36.58082       0.00000       0.00000
     -36.54182       0.00000       0.00000
     -36.50182       0.00000       0.00000
     -36.46282       0.00000       0.00000
     -36.42382       0.00000       0.00000
     -36.38482       0.00000       0.00000
     -36.34482       0.00000       0.00000
     -36.30582       0.00000       0.00000
     -36.26682       0.00000       0.00000
     -36.22782       0.00000       0.00000
     -36.18782       0.00000       0.00000
     -36.14882       0.00000       0.00000
     -36.10982       0.00000       0.00000
     -36.07082       0.00000       0.00000
     -36.03082       0.00000       0.00000
     -35.99182       0.00000       0.00000
     -35.95282       0.00000       0.00000
     -35.91382       0.00000       0.00000
     -35.87382       0.00000       0.00000
     -35.83482       0.00000       0.00000
     -35.79582       0.00000       0.00000
     -35.75682       0.00000       0.00000
     -35.71682       0.00000       0.00000
     -35.67782       0.00000       0.00000
     -35.63882       0.00000       0.00000
     -35.59982       0.00000       0.00000
     -35.56082       0.00000       0.00000
     -35.52082       0.00000       0.00000
     -35.48182       0.00000       0.00000
     -35.44282       0.00000       0.00000
     -35.40382       0.00000       0.00000
     -35.36382       0.00000       0.00000
     -35.32482       0.00000       0.00000
     -35.28582       0.00000       0.00000
     -35.24682       0.00000       0.00000
     -35.20682       0.00000       0.00000
     -35.16782       0.00000       0.00000
     -35.12882       0.00000       0.00000
     -35.08982       0.00000       0.00000
     -35.04982       0.00000       0.00000
     -35.01082       0.00000       0.00000
     -34.97182       0.00000       0.00000
     -34.93282       0.00000       0.00000
     -34.89282       0.00000       0.00000
     -34.85382       0.00000       0.00000
     -34.81482       0.00000       0.00000
     -34.77582       0.00000       0.00000
     -34.73582       0.00000       0.00000
     -34.69682       0.00000       0.00000
     -34.65782       0.00000       0.00000
     -34.61882       0.00000       0.00000
     -34.57882       0.00000       0.00000
     -34.53982       0.00000       0.00000
     -34.50082       0.00000       0.00000
     -34.46182       0.00000       0.00000
     -34.42182       0.00000       0.00000
     -34.38282       0.00000       0.00000
     -34.34382       0.00000       0.00000
     -34.30482       0.00000       0.00000
     -34.26482       0.00000       0.00000
     -34.22582       0.00000       0.00000
     -34.18682       0.00000       0.00000
     -34.14782       0.00000       0.00000
     -34.10782       0.00000       0.00000
     -34.06882       0.00000       0.00000
     -34.02982       0.00000       0.00000
     -33.99082       0.00000       0.00000
     -33.95082       0.00000       0.00000
     -33.91182       0.00000       0.00000
     -33.87282       0.00000       0.00000
     -33.83382       0.00000       0.00000
     -33.79482       0.00000       0.00000
     -33.75482       0.00000       0.00000
     -33.71582       0.00000       0.00000
     -33.67682       0.00000       0.00000
     -33.63782       0.00000       0.00000
     -33.59782       0.00000       0.00000
     -33.55882       0.00000       0.00000
     -33.51982       0.00000       0.00000
     -33.48082       0.00000       0.00000
     -33.44082       0.00000       0.00000
     -33.40182       0.00000       0.00000
     -33.36282       0.00000       0.00000
     -33.32382       0.00000       0.00000
     -33.28382       0.00000       0.00000
     -33.24482       0.00000       0.00000
     -33.20582       0.00000       0.00000
     -33.16682       0.00000       0.00000
     -33.12682       0.00000       0.00000
     -33.08782       0.00000       0.00000
     -33.04882       0.00000       0.00000
     -33.00982       0.00000       0.00000
     -32.96982       0.00000       0.00000
     -32.93082       0.00000       0.00000
     -32.89182       0.00000       0.00000
     -32.85282       0.00000       0.00000
     -32.81282       0.00000       0.00000
     -32.77382       0.00000       0.00000
     -32.73482       0.00000       0.00000
     -32.69582       0.00000       0.00000
     -32.65582       0.00000       0.00000
     -32.61682       0.00000       0.00000
     -32.57782       0.00000       0.00000
     -32.53882       0.00000       0.00000
     -32.49882       0.00000       0.00000
     -32.45982       0.00000       0.00000
     -32.42082       0.00000       0.00000
     -32.38182       0.00000       0.00000
     -32.34182       0.00000       0.00000
     -32.30282       0.00000       0.00000
     -32.26382       0.00000       0.00000
     -32.22482       0.00000       0.00000
     -32.18482       0.00000       0.00000
     -32.14582       0.00000       0.00000
     -32.10682       0.00000       0.00000
     -32.06782       0.00000       0.00000
     -32.02882       0.00000       0.00000
     -31.98882       0.00000       0.00000
     -31.94982       0.00000       0.00000
     -31.91082       0.00000       0.00000
     -31.87182       0.00000       0.00000
     -31.83182       0.00000       0.00000
     -31.79282       0.00000       0.00000
     -31.75382       0.00000       0.00000
     -31.71482       0.00000       0.00000
     -31.67482       0.00000       0.00000
     -31.63582       0.00000       0.00000
     -31.59682       0.00000       0.00000
     -31.55782       0.00000       0.00000
     -31.51782       0.00000       0.00000
     -31.47882       0.00000       0.00000
     -31.43982       0.00000       0.00000
     -31.40082       0.00000       0.00000
