      #Energy        TDOS-UP        TDOS-DOWN
     -44.96181       0.00000       0.00000
     -44.92281       0.00000       0.00000
     -44.88481       0.00000       0.00000
     -44.84681       0.00000       0.00000
     -44.80781       0.00000       0.00000
     -44.76981       0.00000       0.00000
     -44.73181       0.00000       0.00000
     -44.69281       0.00000       0.00000
     -44.65481       0.00000       0.00000
     -44.61681       0.00000       0.00000
     -44.57781       0.00000       0.00000
     -44.53981       0.00000       0.00000
     -44.50181       0.00000       0.00000
     -44.46281       0.00000       0.00000
     -44.42481       0.00000       0.00000
     -44.38681       0.00000       0.00000
     -44.34781       0.00000       0.00000
     -44.30981       0.00000       0.00000
     -44.27181       0.00000       0.00000
     -44.23281       0.00000       0.00000
     -44.19481       0.00000       0.00000
     -44.15681       0.00000       0.00000
     -44.11881       0.00000       0.00000
     -44.07981       0.00000       0.00000
     -44.04181       0.00000       0.00000
     -44.00381       0.00000       0.00000
     -43.96481       0.00000       0.00000
     -43.92681       0.00000       0.00000
     -43.88881       0.00000       0.00000
     -43.84981       0.00000       0.00000
     -43.81181       0.00000       0.00000
     -43.77381       0.00000       0.00000
     -43.73481       0.00000       0.00000
     -43.69681       0.00000       0.00000
     -43.65881       0.00000       0.00000
     -43.61981       0.00000       0.00000
     -43.58181       0.00000       0.00000
     -43.54381       0.00000       0.00000
     -43.50481       0.00000       0.00000
     -43.46681       0.00000       0.00000
     -43.42881       0.00000       0.00000
     -43.38981       0.00000       0.00000
     -43.35181       0.00000       0.00000
     -43.31381       0.00000       0.00000
     -43.27481       0.00000       0.00000
     -43.23681       0.00000       0.00000
     -43.19881       0.00000       0.00000
     -43.15981       0.00000       0.00000
     -43.12181       0.00000       0.00000
     -43.08381       0.00000       0.00000
     -43.04581       0.00000       0.00000
     -43.00681       0.00000       0.00000
     -42.96881       0.00000       0.00000
     -42.93081       0.00000       0.00000
     -42.89181       0.00000       0.00000
     -42.85381       0.00000       0.00000
     -42.81581       0.00000       0.00000
     -42.77681       0.00000       0.00000
     -42.73881       0.00000       0.00000
     -42.70081       0.00000       0.00000
     -42.66181       0.00000       0.00000
     -42.62381       0.00000       0.00000
     -42.58581       0.00000       0.00000
     -42.54681       0.00000       0.00000
     -42.50881       0.00000       0.00000
     -42.47081       0.00000       0.00000
     -42.43181       0.00000       0.00000
     -42.39381       0.00000       0.00000
     -42.35581       0.00000       0.00000
     -42.31681       0.00000       0.00000
     -42.27881       0.00000       0.00000
     -42.24081       0.00000       0.00000
     -42.20181       0.00000       0.00000
     -42.16381       0.00000       0.00000
     -42.12581       0.00000       0.00000
     -42.08681       0.00000       0.00000
     -42.04881       0.00000       0.00000
     -42.01081       0.00000       0.00000
     -41.97181       0.00000       0.00000
     -41.93381       0.00000       0.00000
     -41.89581       0.00000       0.00000
     -41.85781       0.00000       0.00000
     -41.81881       0.00000       0.00000
     -41.78081       0.00000       0.00000
     -41.74281       0.00000       0.00000
     -41.70381       0.00000       0.00000
     -41.66581       0.00000       0.00000
     -41.62781       0.00000       0.00000
     -41.58881       0.00000       0.00000
     -41.55081       0.00000       0.00000
     -41.51281       0.00000       0.00000
     -41.47381       0.00000       0.00000
     -41.43581       0.00000       0.00000
     -41.39781       0.00000       0.00000
     -41.35881       0.00000       0.00000
     -41.32081       0.00000       0.00000
     -41.28281       0.00000       0.00000
     -41.24381       0.00000       0.00000
     -41.20581       0.00000       0.00000
     -41.16781       0.00000       0.00000
     -41.12881       0.00000       0.00000
     -41.09081       0.00000       0.00000
     -41.05281       0.00000       0.00000
     -41.01381       0.00000       0.00000
     -40.97581       0.00000       0.00000
     -40.93781       0.00000       0.00000
     -40.89881       0.00000       0.00000
     -40.86081       0.00000       0.00000
     -40.82281       0.00000       0.00000
     -40.78381       0.00000       0.00000
     -40.74581       0.00000       0.00000
     -40.70781       0.00000       0.00000
     -40.66981       0.00000       0.00000
     -40.63081       0.00000       0.00000
     -40.59281       0.00000       0.00000
     -40.55481       0.00000       0.00000
     -40.51581       0.00000       0.00000
     -40.47781       0.00000       0.00000
     -40.43981       0.00000       0.00000
     -40.40081       0.00000       0.00000
     -40.36281       0.00000       0.00000
     -40.32481       0.00000       0.00000
     -40.28581       0.00000       0.00000
     -40.24781       0.00000       0.00000
     -40.20981       0.00000       0.00000
     -40.17081       0.00000       0.00000
     -40.13281       0.00000       0.00000
     -40.09481       0.00000       0.00000
     -40.05581       0.00000       0.00000
     -40.01781       0.00000       0.00000
     -39.97981       0.00000       0.00000
     -39.94081       0.00000       0.00000
     -39.90281       0.00000       0.00000
     -39.86481       0.00000       0.00000
     -39.82581       0.00000       0.00000
     -39.78781       0.00000       0.00000
     -39.74981       0.00000       0.00000
     -39.71081       0.00000       0.00000
