      #Energy        TDOS-UP        TDOS-DOWN
     -50.94545       0.00000       0.00000
     -50.90545       0.00000       0.00000
     -50.86545       0.00000       0.00000
     -50.82545       0.00000       0.00000
     -50.78545       0.00000       0.00000
     -50.74545       0.00000       0.00000
     -50.70545       0.00000       0.00000
     -50.66545       0.00000       0.00000
     -50.62545       0.00000       0.00000
     -50.58545       0.00000       0.00000
     -50.54545       0.00000       0.00000
     -50.50545       0.00000       0.00000
     -50.46545       0.00000       0.00000
     -50.42545       0.00000       0.00000
     -50.38545       0.00000       0.00000
     -50.34545       0.00000       0.00000
     -50.30545       0.00000       0.00000
     -50.26545       0.00000       0.00000
     -50.22545       0.00000       0.00000
     -50.18545       0.00000       0.00000
     -50.14545       0.00000       0.00000
     -50.10545       0.00000       0.00000
     -50.06545       0.00000       0.00000
     -50.02545       0.00000       0.00000
     -49.98545       0.00000       0.00000
     -49.94545       0.00000       0.00000
     -49.90545       0.00000       0.00000
     -49.86545       0.00000       0.00000
     -49.82545       0.00000       0.00000
     -49.78545       0.00000       0.00000
     -49.74545       0.00000       0.00000
     -49.70545       0.00000       0.00000
     -49.66545       0.00000       0.00000
     -49.62545       0.00000       0.00000
     -49.58545       0.00000       0.00000
     -49.54545       0.00000       0.00000
     -49.50645       0.00000       0.00000
     -49.46645       0.00000       0.00000
     -49.42645       0.00000       0.00000
     -49.38645       0.00000       0.00000
     -49.34645       0.00000       0.00000
     -49.30645       0.00000       0.00000
     -49.26645       0.00000       0.00000
     -49.22645       0.00000       0.00000
     -49.18645       0.00000       0.00000
     -49.14645       0.00000       0.00000
     -49.10645       0.00000       0.00000
     -49.06645       0.00000       0.00000
     -49.02645       0.00000       0.00000
     -48.98645       0.00000       0.00000
     -48.94645       0.00000       0.00000
     -48.90645       0.00000       0.00000
     -48.86645       0.00000       0.00000
     -48.82645       0.00000       0.00000
     -48.78645       0.00000       0.00000
     -48.74645       0.00000       0.00000
     -48.70645       0.00000       0.00000
     -48.66645       0.00000       0.00000
     -48.62645       0.00000       0.00000
     -48.58645       0.00000       0.00000
